epoch,loss,lr,val_loss
0,0.0010074344463646412,1e-04,0.000939546269364655
1,0.0007828373345546424,1e-04,0.0008081402629613876
2,0.0006350427283905447,1e-04,0.0008097945828922093
3,0.0005430041346698999,1e-04,0.0008500795811414719
4,0.00043334768270142376,1e-04,0.0007739591528661549
5,0.00028763109003193676,1e-04,0.0007067833794280887
6,0.00018586123769637197,1e-04,0.0005980624118819833
7,0.00012663406960200518,1e-04,0.000663835380692035
8,9.952576510841027e-05,1e-04,0.0005637974245473742
9,6.698774814140052e-05,1e-04,0.0005931142368353903
10,5.1993774832226336e-05,1e-04,0.0006177995237521827
11,4.818875822820701e-05,1e-04,0.0005842899554409087
12,3.7973404687363654e-05,1e-04,0.0005867419531568885
13,3.259420918766409e-05,1e-04,0.0005392547463998199
14,2.7943380700889975e-05,1e-04,0.0005687071243301034
15,2.2687909222440794e-05,1e-04,0.0005427961586974561
16,2.2038653696654364e-05,1e-04,0.0005702208145521581
17,1.8813834685715847e-05,1e-04,0.0005649257218465209
18,1.6568887076573446e-05,1e-04,0.0005428640870377421
19,1.2260108633199707e-05,5e-05,0.0005495617515407503
20,1.077431170415366e-05,5e-05,0.0005439496599137783
21,1.020442505250685e-05,5e-05,0.0005497715901583433
22,1.0091385775012895e-05,5e-05,0.0005363320815376937
23,9.412216968485154e-06,5e-05,0.0005561138386838138
24,8.528991202183533e-06,5e-05,0.000518401269800961
25,8.381077350350097e-06,5e-05,0.0005475996294990182
26,8.170298315235414e-06,5e-05,0.0005515393568202853
27,8.214596164179966e-06,5e-05,0.0005325296078808606
28,7.69217422202928e-06,5e-05,0.0005879472591914237
29,7.665757948416285e-06,5e-05,0.0005603969329968095
30,6.779172053938964e-06,2.5e-05,0.0005303290672600269
31,6.366877187247155e-06,2.5e-05,0.0005412046448327601
32,6.327513801807072e-06,2.5e-05,0.0005739835323765874
33,6.339250830933452e-06,2.5e-05,0.0005393047467805445
34,6.261605449253693e-06,2.5e-05,0.0005483602872118354
