epoch,loss,lr,val_loss
0,0.0007466934621334076,1e-04,0.0006537699373438954
1,0.0006269195582717657,1e-04,0.0006020994624122977
2,0.0005492833442986012,1e-04,0.00047893167356960475
3,0.0004715502727776766,1e-04,0.0004616575315594673
4,0.0004259123234078288,1e-04,0.0003884438774548471
5,0.0003801712009590119,1e-04,0.00035535439383238554
6,0.0003195671597495675,1e-04,0.00028980476781725883
7,0.00028075455338694155,1e-04,0.00026854508905671537
8,0.00024327704159077257,1e-04,0.0002378710196353495
9,0.0002187279606005177,1e-04,0.00020372439757920802
10,0.00019559066276997328,1e-04,0.00018770075985230505
11,0.00018723429820965976,1e-04,0.00016952856094576418
12,0.00016671777120791376,1e-04,0.00016856775619089603
13,0.00015458004781976342,1e-04,0.00016190108726732433
14,0.00014669854135718197,1e-04,0.00015184142102953047
15,0.00013733396190218627,1e-04,0.00016067393880803138
16,0.00012883346062153578,1e-04,0.00015569113020319492
17,0.00012725169654004276,1e-04,0.00013719158596359193
18,0.00011505391739774495,1e-04,0.0001359217130811885
19,0.00011220814485568553,1e-04,0.00012886278273072094
20,0.0001084728937712498,1e-04,0.00013056803436484188
21,0.00010383740300312638,1e-04,0.00013466659584082663
22,0.00010336357081541792,1e-04,0.00013367467909120023
23,9.576853335602209e-05,1e-04,0.0001229528133990243
24,9.786845475900918e-05,1e-04,0.00012765078281518072
25,8.702987543074414e-05,1e-04,0.00012249617429915816
26,8.516724483342841e-05,1e-04,0.00013510239659808576
27,8.324030204676092e-05,1e-04,0.00013134643086232245
28,7.672700303373858e-05,1e-04,0.00012139454338466749
29,7.778871076880023e-05,1e-04,0.0001309640792896971
30,7.226978777907789e-05,1e-04,0.0001155140926130116
31,7.074260065564886e-05,1e-04,0.00012022945884382352
32,6.892301462357864e-05,1e-04,0.00012087272625649348
33,6.77227508276701e-05,1e-04,0.00013588386354967952
34,6.802256393712014e-05,1e-04,0.00011749958503060043
35,6.505360943265259e-05,1e-04,0.00011198171705473214
36,5.9610010794131085e-05,1e-04,0.00010675518569769338
37,6.1005917814327404e-05,1e-04,0.00012121506733819842
38,5.796457116957754e-05,1e-04,0.00010797779395943508
39,5.801701627206057e-05,1e-04,0.00011051655019400641
40,5.4539861594093964e-05,1e-04,0.00011165304749738425
41,5.4572381486650556e-05,1e-04,0.00012446333130355924
42,4.800688839168288e-05,5e-05,0.00010641224798746407
43,4.243782314006239e-05,5e-05,0.00010294187086401507
44,4.1862855141516775e-05,5e-05,0.00010326477058697492
45,4.085083492100239e-05,5e-05,0.0001099806249840185
46,3.81361496692989e-05,5e-05,0.00010533368913456798
47,3.8392681744880974e-05,5e-05,0.00011691899271681905
48,3.7433215766213834e-05,5e-05,0.00010161737736780196
49,3.576211747713387e-05,5e-05,0.00010580250818748027
50,3.8070647860877216e-05,5e-05,0.00010246975580230355
51,3.577532334020361e-05,5e-05,0.00010208961612079293
52,3.422922236495651e-05,5e-05,9.974474960472435e-05
53,3.292176188551821e-05,5e-05,0.00010068966366816312
54,3.6488621844910085e-05,5e-05,0.00011589978385018185
55,3.2515134080313146e-05,5e-05,0.00010669273615349084
56,3.172444485244341e-05,5e-05,0.00010564638068899512
57,3.351217310409993e-05,5e-05,0.0001012361390166916
58,3.0355527997016907e-05,2.5e-05,9.449954814044759e-05
59,2.9150996851967648e-05,2.5e-05,9.556685836287215e-05
60,2.8112945074099116e-05,2.5e-05,9.984299686038867e-05
61,2.7378126105759293e-05,2.5e-05,0.00010204962018178776
62,2.665712781890761e-05,2.5e-05,9.897552808979526e-05
63,2.7805910576716997e-05,2.5e-05,0.0001025403689709492
64,2.9102173357387073e-05,2.5e-05,0.0001037002875818871
65,2.6289557354175486e-05,1.25e-05,0.00011029658344341442
66,2.5833907784544863e-05,1.25e-05,9.717492503114045e-05
67,2.4842611310305074e-05,1.25e-05,0.00010656948143150657
68,2.5795900000957772e-05,1.25e-05,9.612514259060845e-05
